gRNA,param,value
CROPseq_dCas9_DS_CCNE2_+_95907328.23-P1P2,beta0,-4.409172058105469
CROPseq_dCas9_DS_CCNE2_+_95907328.23-P1P2,beta1,8.485894203186035
CROPseq_dCas9_DS_CCNE2_+_95907328.23-P1P2,pi,0.009414155036211014
CROPseq_dCas9_DS_CCNE2_+_95907328.23-P1P2,gamma_1,-4.295125484466553
CROPseq_dCas9_DS_CCNE2_+_95907382.23-P1P2,beta0,-3.969275712966919
CROPseq_dCas9_DS_CCNE2_+_95907382.23-P1P2,beta1,7.654389381408691
CROPseq_dCas9_DS_CCNE2_+_95907382.23-P1P2,pi,0.019631046801805496
CROPseq_dCas9_DS_CCNE2_+_95907382.23-P1P2,gamma_1,-3.8931329250335693
