gRNA,weight_Normal1,weight_Normal2,mu1,mu2,scale1,scale2
CROPseq_dCas9_DS_STK3_+_99837894.23-P1P2,0.60738474,0.3926152,0.3332324,1.6887674,[0.02326427],[0.02326427]
CROPseq_dCas9_DS_STK3_-_99837866.23-P1P2,0.7850925,0.2149075,0.30793676,1.7692745,[0.02035372],[0.02035372]
CROPseq_dCas9_DS_UBR5_+_103424908.23-P1P2,0.62941086,0.37058914,0.32118034,1.7560464,[0.02182581],[0.02182581]
CROPseq_dCas9_DS_UBR5_+_103424940.23-P1P2,0.6162798,0.38372022,0.3313293,1.6821688,[0.02247594],[0.02247594]
CROPseq_dCas9_DS_UBR5_-_103424644.23-P1P2,0.61869955,0.38130042,0.32475725,1.7237265,[0.02293877],[0.02293877]
CROPseq_dCas9_DS_UBR5_-_103424857.23-P1P2,0.6329364,0.3670636,0.35714617,1.6047726,[0.02539637],[0.02539637]
CROPseq_dCas9_DS_ZFPM2-A,0.60174066,0.39825937,0.32694116,1.7188171,[0.02250687],[0.02250687]
CROPseq_dCas9_DS_ZFPM2-B,0.6119445,0.3880555,0.34909734,1.609427,[0.02368473],[0.02368473]
CROPseq_dCas9_DS_ZFPM2-C,0.58809364,0.4119063,0.3259953,1.6690441,[0.02310335],[0.02310335]
CROPseq_dCas9_DS_ZFPM2-D,0.5751245,0.4248755,0.3292785,1.6667418,[0.0228566],[0.0228566]
CROPseq_dCas9_DS_non-targeting_00000,0.62219435,0.37780565,0.32446715,1.8315516,[0.02105926],[0.02105926]
CROPseq_dCas9_DS_non-targeting_00001,0.6108133,0.38918668,0.34082678,1.715804,[0.02216296],[0.02216296]
CROPseq_dCas9_DS_non-targeting_00002,0.6063357,0.39366436,0.3237058,1.8110354,[0.02105277],[0.02105277]
CROPseq_dCas9_DS_non-targeting_00003,0.62619525,0.37380472,0.3194467,1.7915802,[0.02122865],[0.02122865]
CROPseq_dCas9_DS_non-targeting_00004,0.6539227,0.34607726,0.33005843,1.7983929,[0.02156302],[0.02156302]
CROPseq_dCas9_DS_non-targeting_00005,0.64454585,0.3554542,0.32036325,1.8030645,[0.02091993],[0.02091993]
CROPseq_dCas9_DS_non-targeting_00006,0.57735854,0.42264146,0.31648257,1.7310939,[0.02160476],[0.02160476]
CROPseq_dCas9_DS_non-targeting_00007,0.61278117,0.38721886,0.32085845,1.8137839,[0.02111317],[0.02111317]
CROPseq_dCas9_DS_non-targeting_00008,0.6373636,0.36263636,0.33106717,1.7518959,[0.02159927],[0.02159927]
CROPseq_dCas9_DS_non-targeting_00009,0.696591,0.30340904,0.32154018,1.804124,[0.02174735],[0.02174735]
CROPseq_dCas9_DS_non-targeting_00010,0.6080771,0.3919229,0.34302926,1.7591809,[0.02252648],[0.02252648]
CROPseq_dCas9_DS_non-targeting_00011,0.60601574,0.3939843,0.32652253,1.7139231,[0.0219907],[0.0219907]
CROPseq_dCas9_DS_non-targeting_00012,0.6120204,0.38797966,0.33399066,1.7312181,[0.02257053],[0.02257053]
CROPseq_dCas9_DS_non-targeting_00013,0.6213252,0.37867486,0.3385411,1.7299135,[0.02257041],[0.02257041]
CROPseq_dCas9_DS_non-targeting_00014,0.62446404,0.3755359,0.34319985,1.7670048,[0.02245343],[0.02245343]
CROPseq_dCas9_DS_non-targeting_00015,0.6212454,0.37875465,0.32723337,1.7746947,[0.02170861],[0.02170861]
CROPseq_dCas9_DS_non-targeting_00016,0.6481192,0.35188082,0.32697886,1.8019924,[0.02222342],[0.02222342]
CROPseq_dCas9_DS_non-targeting_00017,0.6338599,0.3661401,0.32971665,1.7701436,[0.02211734],[0.02211734]
CROPseq_dCas9_DS_non-targeting_00018,0.6017635,0.39823648,0.33042353,1.7222255,[0.02247177],[0.02247177]
CROPseq_dCas9_DS_non-targeting_00019,0.60737073,0.39262927,0.3150437,1.7527143,[0.02229288],[0.02229288]
CROPseq_dCas9_DS_non-targeting_00020,0.6057366,0.39426336,0.32074478,1.7274758,[0.02224529],[0.02224529]
CROPseq_dCas9_DS_non-targeting_00021,0.60075295,0.39924705,0.33710667,1.7928218,[0.02184186],[0.02184186]
CROPseq_dCas9_DS_non-targeting_00022,0.63245773,0.36754233,0.34950462,1.746488,[0.02275275],[0.02275275]
CROPseq_dCas9_DS_non-targeting_00023,0.62764907,0.3723509,0.32600662,1.810968,[0.02141638],[0.02141638]
CROPseq_dCas9_DS_non-targeting_00024,0.62540996,0.37459004,0.32296634,1.7747456,[0.02190652],[0.02190652]
CROPseq_dCas9_DS_non-targeting_00025,0.6358892,0.36411086,0.3269213,1.8204305,[0.02179199],[0.02179199]
CROPseq_dCas9_DS_non-targeting_00026,0.60962737,0.39037263,0.33513808,1.7335603,[0.02200062],[0.02200062]
CROPseq_dCas9_DS_non-targeting_00027,0.6426802,0.35731977,0.3280811,1.7888964,[0.02168619],[0.02168619]
CROPseq_dCas9_DS_non-targeting_00028,0.5981886,0.40181142,0.32862785,1.7531912,[0.02172699],[0.02172699]
CROPseq_dCas9_DS_non-targeting_00029,0.62788993,0.37211013,0.32808322,1.7980002,[0.02183456],[0.02183456]
